S.No.,Test Case,"Type of Test Case
(Positive / Negative)",Remarks
1,"Verify if the correct values of path parameters, query parameters, header and body are passed with correct endpoint and http method then API should show correct response",Positive,
2,Verify if only required path parameters are passed with other valid details,Positive,
3,Verify if only required query parameters are passed with other valid details,Positive,
4,Verify if only required header is passed with other valid details,Positive,
5,Verify if only required body is passed with other valid details,Positive,
6,Verify if only optional path parameters are passed with other valid details,Negative,
7,Verify if only optional query parameters are passed with other valid details,Negative,
8,Verify if only optional header is passed with other valid details,Negative,
9,Verify if only optional body is passed with other valid details,Negative,
10,Verify if null is passed in required path parameter value ,Negative,
11,Verify if blank value is passed in required path parameter ,Negative,
12,Verify if space is passed in required path parameter value,Negative,
13,Verify if null is passed in optional path parameter value ,Positive,
14,Verify if blank value is passed in optional path parameter ,Positive,
15,Verify if space is passed in optional path parameter value,Positive,
16,Verify if null is passed in required query parameter value,Negative,
17,Verify if blank value is passed in required query parameter,Negative,
18,Verify if space is passed in required query parameter value,Negative,
19,Verify if null is passed in optional query parameter value,Positive,
20,Verify if blank value is passed in optional query parameter,Positive,
21,Verify if space is passed in optional query parameter value,Positive,
22,Verify if null is passed in required header,Negative,
23,Verify if blank value is passed in required header,Negative,
24,Verify if space is passed in required header,Negative,
25,Verify if null is passed in optional header,Positive,
26,Verify if blank value is passed in optional header,Positive,
27,Verify if space is passed in optional header,Positive,
28,Verify if no body is passed with the API and it is mentioned in docs not to pass body,Positive,
29,Verify if no body is passed with the API and it is mentioned in docs to pass body,Negative,
30,Verify if empty body is passed with API and it is mentioned in docs to pass body,Negative,
31,Verify if incorrect body is passed with API if and is mentioned in docs to pass body,Negative,
32,Verify if http method not associated with the API as per docs is passed,Negative,
