S.No.,Test Case,"Type of Test Case (Positive / Negative)",Remarks
1,Verify that the table and column data type definitions are as per the data model design specifications.,Positive,
2,Verify that the length of database columns are as per the data model design specifications.,Positive,
3,Verify that proper constraints and indexes are defined on the database tables as per the design specifications.,Positive,
4,Verify that the columns that cannot be null have the ‘NOT NULL’ constraint.,Positive,
5,Verify that the unique key and foreign key columns are indexed as per the requirement.,Positive,
6,Verify that the tables are named according to the table naming convention.,Positive,
7,"Verify that the names of the database metadata such as tables, columns, indexes are as per the naming standards.",Positive,
8,Verify that if correct data is getting saved in the database upon successful page submit for Database Testing,Positive,
9,Verify that null value should not be allowed in Primary Key column,Positive,
10,Verify that Primary Key column should contain unique values,Positive,
11,Verify that data should be stored in single or multiple tables based on design as per Data Integrity,Positive,
12,"Verify that Index names should be given as per the standards, e.g. IND_<Tablename>_<ColumnName>",Positive,
13,Verify that database add/update operation log should be added,Positive,
14,Verify that if data is committed to the database only when the operation is completed,Positive,
15,Verify that Data should be rolled back in case of failed transactions,Positive,
16,Verify that Stored procedures should not be named with prefix “sp_.”,Positive,
17,"Verfiy that values for table audit columns (like created date, created by, updated date, updated by, isdeleted, deleteddate, deletedby, etc.) are populated properly",Positive,
18,"Verify that numeric fields should work with minimum, maximum, and float values",Positive,
19,Verify that numeric fields should not store negative values,Negative,
20,Verify that radio button and dropdown list options are saved correctly in the database,Positive,
21,Verify that Input field leading and trailing spaces should be truncated before committing data to the database,Positive,
22,Verify that data inserted from UI is reflecting properly in the appropriate table.,Positive,
