S. No.,Test Case,Type of Test Case (Positive / Negative),Remarks,
1,"Verify that on the product page, the user can select the desired attribute of the product e.g. size, color, etc.,",Positive,,
2,Verify that the user can successfully buy more than one product that was added to his/her cart,Positive,,
3,Verify that logo of the company is clearly visible in every page,Positive,,
4,Verify that filtering works correctly on category pages,Positive,,
5,"Verify that there is no dead hyperlink, plugin dependency, font sizing, etc.,",Positive,,
6,"Verify that all the text – product, category name, price, and product description are visible",Positive,,
7,Verify that the correct count of total products is listed on the category pages,Positive,,
8,"Verify for an error message if Email, password, or any required field is left blank",Positive,,
9,Verify that all the required fields are present on the registration page,Positive,,
10,Verify that the required/mandatory fields are marked with * against the field,Positive,,
11,Verify that the registration page has both submit and cancel/reset buttons at the end,Positive,,
12,Verify that not filling the mandatory fields and clicking the submit button will lead to the validation error,Negative,,
13,Verify that not filling the optional fields and clicking the submit button will send data to the server without any validation error,Positive,,
14,"Verify that all items on the next page are different from the previous page, i.e., no duplicates",Positive,,
15,Verify that the added product is present on the wishlist page,Positive,,
16,Verify that user can add products in the wish list,Positive.,,
17,Verify that option to check the availability of the product is present,Positive,,
18,"Verify that users can rate, review the product",Positive,,
19,Verify that user can add products to the cart,Positive,,
20,Verify that user price increase accordingly when a product is added multiple times,Positive.,,
21,Verify that authenticated sellers get access to product creation panels specific to the authorized categories.,Positive,,
22,Verify that the product creation panel is working fine for single product creation.,Positive,,
23,Verify that the product creation panel is working fine for multiple product creation.,Positive,,
24,"Verify that the maximum product creation limit for the seller is working fine, limiting the seller to create more than the desired number of products.",Positive,,
25,Verify panel validation for checking mandatory fields.,Posipive,,
26,Verify that duplicate product creation is restricted through the panel.,Positive,,
27,Verify that seller can update the information and price of existing products.,Positive,,
28,Verify that products created by sellers get visible on the website after a certain period of time.,Positive,,
29,Verify that updates made by the seller get visible on the website after a certain period of time.,Positive,,
30,"Verify that clicking cancels/reset button after entering all the required fields, cancels the submit request, and reset all the fields.",Positive,,
,,,,
,,,,
