S.No.,Test Case,"Type of Test Case
(Positive / Negative)",Remarks
1,Verify that cursor is focused on “Username” text box on the page load (login page),Positive,
2,"Verify that the login screen contains elements such as Username, Password, Sign in button, Remember password check box, Forgot password link, and Create Account / Register / Sign Up link.",Positive,
3,Verify that tab functionality is working properly or not,Positive,
4,Verify that Enter key works as a substitute for the Sign in button,Positive,
5,"Verify that all the fields such as Username, Password has a valid placeholder",Positive,
6,Verify that the labels float upward when the text field is in focus or filled (In case of floating label),Positive,
7,Verify that User is able to Login with Valid Credentials,Positive,
8,Verify that User is not able to Login with invalid Username and invalid Password,Negative,
9,Verify that User is not able to Login with Valid Username and invalid Password,Negative,
10,Verify that User is not able to Login with invalid Username and Valid Password,Negative,
11,Verify that User is not able to Login with blank Username or Password,Negative,
12,Verify that User is not able to Login with space as Username or Password,Negative,
13,Verify that User is not able to Login with inactive credentials,Negative,
14,Verify that clicking on browser back button after successful login should not take user to log out mode,Negative,
15,Verify that clicking on browser back button after successful logout should not take User to logged in mode,Negative,
16,"Verify that there is a limit on the total number of unsuccessful login attempts (No. of invalid attempts should be based on business logic. Based on the business logic, User will be asked to enter captcha and try again or user will be blocked)",Negative,
17,Verify that the password is in encrypted form when entered,Positive,
18,Verify the password can be copy-pasted,Positive,
19,Verify that encrypted characters in “Password” field should not allow deciphering if copied,Positive,
20,Verify that User should be able to login with the new password after changing the password,Positive,
21,Verify that User should not be able to login with the old password after changing the password,Negative,
22,Verify that User has initiated the process of password change but not completed then the User should be able to login with old credentials,Negative,
23,Verify that spaces should not be allowed before any password characters attempted,Negative,
24,"Verify that whether User is still logged in after series of actions such as sign in, close browser and reopen the application.",Negative,
25,"Verify that “Remember password” checkbox is unselected by default (depends on business logic, it may be selected or unselected)",Positive,
26,"Verify that “Keep me logged in” checkbox is unselected by default (depends on business logic, it may be selected or unselected)",Positive,
27,Verify that the logout link is redirected to login/home page,Positive,
28,Verify that User is redirected to appropriate page after successful login,Positive,
29,Verify that User is redirected to Forgot password page when clicking on Forgot Password link,Positive,
30,Verify that User is redirected to Create an account page when clicking on Register / Sign up / Create an account link,Positive,
31,Verify that validation message is displayed in case when User leaves Username or Password as blank or space is passed,Negative,
32,Verify that validation message is displayed in case of exceeding the character limit of the Username and Password fields,Negative,
33,Verify that validation message is displayed in case of entering special character in the Username and password fields,Negative,
34,"Verify if the font, text color, color coding and sequence of the Login page is as per the standard.",Positive,
35,Verify that show password icon is present in password textbox and it should show password in text format when clicked,Positive,
36,Verify the login page and all its controls in different browsers,Positive,
37,Verify whether the login form is revealing any security information by viewing page source,Negative,
38,Verify that the login page is not vulnerable to SQL injection,Negative,
39,Verify whether Cross-site scripting (XSS ) vulnerability work on a login page. XSS vulnerability may be used by hackers to bypass access controls.,Negative,
40,Verify that whether there is a client-side validation when User doesn’t enter CAPTCHA,Negative,
41,Verify that the refresh link of CAPTCHA is generating new CAPTCHA,Positive,
42,Verify that the CAPTCHA is case sensitive,Positive,
43,Verify whether the CAPTCHA has audio support to listen,Positive,
45,Verify Page Title after Successful login, Positive,
46,Verify User should be locked after multiple invalid login attempts when lockout is set, Negative
