S.No,Test Case,Type of Test Case(positive/negative),Remarks
1,"Verify the web page which contains important data like password, credit card numbers, secret answers for security question etc should be submitted via HTTPS (SSL).",Positive,
2,"Verify the important information like password, credit card numbers etc should display in encrypted format.",Positive,
3,"Verify password rules are implemented on all authentication pages like Registration, forgot password, change password.",Positive,
4,Verify if the password is changed the user cannot to login with the old password.,Positive,
5,Verify the error messages are not displayed any important information.,Positive,
6,"Verify if the user is logged out from the system or user session was expired, the user cannot navigate the site.",Positive,
7,Verify the “View Source code” option is disabled and should not be visible to the user.,Positive,
8,Verify the user account gets locked out if the user is entering the wrong password several times.,Positive,
9,Verify the cookies should not store passwords.,Positive,
10,"Verify if, any functionality is not working, the system should not display any application, server, or database information. Instead, it should display the custom error page.",Positive,
11,Verify the SQL injection attacks.,Negative,
12,"Verify the user roles and their rights. For Example, the requestor should not be able to access the admin page.",Positive,
13,Verify the session values are in an encrypted format in the address bar.,Positive,
14,Verify the cookie information is stored in encrypted format.,Positive,
15,Verify the application for Brute Force Attacks,Negative,
